epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,27799,1.05143,1.06328,1.52497,0.71669,0.71864,0.75113,0.4753,1.49046,1.34747,2.29148,0.000286304,0.000286304,0.000286304
56,28055.9,1.01458,1.01391,1.48827,0.7441,0.74568,0.74776,0.48224,1.38522,1.40319,2.16469,0.000282534,0.000282534,0.000282534
57,28325.8,0.98466,0.98482,1.46801,0.66303,0.70482,0.727,0.46306,1.45413,1.57017,2.23434,0.000278728,0.000278728,0.000278728
58,28667,0.99409,0.96559,1.47503,0.71346,0.80214,0.79974,0.52173,1.37055,1.31471,2.12773,0.000274889,0.000274889,0.000274889
59,28927.4,0.99083,0.98108,1.47569,0.77734,0.73438,0.79692,0.51406,1.41672,1.29652,2.19423,0.000271017,0.000271017,0.000271017
60,30288.2,0.96991,0.96883,1.45988,0.73028,0.72326,0.77607,0.48973,1.41955,1.37562,2.20942,0.000267116,0.000267116,0.000267116
61,30585.1,1.01977,1.02505,1.51059,0.73646,0.62899,0.73426,0.47362,1.45047,1.43946,2.18816,0.000263185,0.000263185,0.000263185
62,30824.9,0.98318,0.95697,1.4774,0.66524,0.74346,0.76824,0.4977,1.48306,1.37285,2.34289,0.000259228,0.000259228,0.000259228
63,31101.7,0.96895,0.96706,1.45847,0.67524,0.78049,0.77451,0.50392,1.42937,1.34094,2.22817,0.000255246,0.000255246,0.000255246
64,31377.4,1.00235,0.95524,1.48522,0.6651,0.8125,0.75922,0.47692,1.5303,1.27834,2.33056,0.000251241,0.000251241,0.000251241
65,31695.2,0.97814,0.94725,1.46463,0.72159,0.74203,0.76379,0.49124,1.51871,1.17754,2.35079,0.000247213,0.000247213,0.000247213
66,31976.2,0.95283,0.9383,1.45802,0.73127,0.76819,0.77594,0.49515,1.53448,1.27115,2.40308,0.000243167,0.000243167,0.000243167
67,32245.2,0.96355,0.90983,1.47175,0.7344,0.64289,0.74503,0.45575,1.54712,1.42101,2.40756,0.000239102,0.000239102,0.000239102
68,32510.1,0.95575,0.94414,1.45868,0.72887,0.68814,0.71033,0.4604,1.4559,1.42153,2.25276,0.00023502,0.00023502,0.00023502
69,32775.6,0.94631,0.82676,1.43058,0.78737,0.71201,0.76646,0.52209,1.42504,1.27814,2.22659,0.000230924,0.000230924,0.000230924
70,33041.9,0.95771,0.89807,1.45592,0.71381,0.68706,0.74528,0.48366,1.52106,1.38932,2.35896,0.000226816,0.000226816,0.000226816
71,33318.8,0.95612,0.9189,1.44579,0.74292,0.69235,0.75214,0.49992,1.35383,1.3278,2.16124,0.000222697,0.000222697,0.000222697
72,33662.4,0.95455,0.89085,1.42322,0.77019,0.67308,0.75953,0.50396,1.36227,1.27263,2.18925,0.000218568,0.000218568,0.000218568
73,33936.7,0.92374,0.85305,1.42882,0.70478,0.75412,0.77292,0.50134,1.4072,1.36594,2.21505,0.000214433,0.000214433,0.000214433
74,34196.4,0.98364,0.86075,1.45889,0.75332,0.74467,0.75136,0.49825,1.38435,1.35436,2.17797,0.000210291,0.000210291,0.000210291
75,34454.3,0.93562,0.84653,1.43763,0.82125,0.71777,0.80379,0.53309,1.33061,1.28006,2.13222,0.000206147,0.000206147,0.000206147
76,34713.7,0.87777,0.78395,1.39126,0.78348,0.75399,0.8118,0.53256,1.29835,1.12241,2.09887,0.000202,0.000202,0.000202
77,35013.6,0.92636,0.81745,1.42784,0.75738,0.76734,0.8016,0.5254,1.3569,1.17282,2.15432,0.000197853,0.000197853,0.000197853
78,35310.2,0.86308,0.793,1.36219,0.764,0.71923,0.8061,0.52978,1.35332,1.20417,2.1438,0.000193709,0.000193709,0.000193709
79,35723.3,0.86051,0.79448,1.38659,0.82571,0.74713,0.79263,0.51862,1.3344,1.20902,2.12452,0.000189567,0.000189567,0.000189567
80,36010.4,0.9064,0.77857,1.38644,0.83517,0.71452,0.79419,0.52985,1.34753,1.21345,2.12659,0.000185432,0.000185432,0.000185432
81,36231.9,0.87578,0.76048,1.37916,0.78657,0.68447,0.77144,0.50886,1.3931,1.341,2.17612,0.000181303,0.000181303,0.000181303
82,36470.2,0.85025,0.78546,1.35462,0.74328,0.76655,0.7625,0.51223,1.3315,1.24412,2.12382,0.000177184,0.000177184,0.000177184
83,36724,0.86997,0.78556,1.39663,0.74476,0.7116,0.74637,0.48793,1.4292,1.36547,2.29931,0.000173076,0.000173076,0.000173076
84,36979.8,0.82591,0.73063,1.33308,0.74364,0.64069,0.71047,0.47895,1.38968,1.42161,2.22766,0.00016898,0.00016898,0.00016898
85,37244.9,0.85076,0.72791,1.34113,0.68193,0.81029,0.76479,0.50138,1.36809,1.31243,2.22824,0.000164898,0.000164898,0.000164898
86,37501.7,0.87575,0.7306,1.37337,0.85055,0.71933,0.79722,0.52453,1.35826,1.22759,2.19398,0.000160833,0.000160833,0.000160833
87,37771.3,0.82694,0.71648,1.33424,0.83644,0.70029,0.80771,0.53171,1.40003,1.18273,2.22941,0.000156787,0.000156787,0.000156787
88,38028.1,0.83622,0.69802,1.35812,0.78533,0.75848,0.81043,0.52432,1.40097,1.11418,2.25379,0.000152759,0.000152759,0.000152759
89,38288.2,0.84459,0.74107,1.36438,0.80869,0.72183,0.80026,0.54647,1.35066,1.13594,2.19348,0.000148754,0.000148754,0.000148754
90,38546.4,0.82421,0.71776,1.34159,0.86822,0.71344,0.8112,0.53718,1.37782,1.15553,2.20922,0.000144772,0.000144772,0.000144772
91,38801.6,0.84028,0.72637,1.36612,0.78978,0.74321,0.79159,0.52044,1.37259,1.153,2.21161,0.000140815,0.000140815,0.000140815
92,39056.2,0.8628,0.71547,1.37633,0.7636,0.71879,0.74458,0.49457,1.40975,1.27661,2.24342,0.000136884,0.000136884,0.000136884
93,39311.9,0.84947,0.69252,1.34225,0.78759,0.68671,0.74785,0.47522,1.50092,1.26543,2.4053,0.000132983,0.000132983,0.000132983
94,39566.9,0.80231,0.66573,1.30985,0.79843,0.71737,0.78497,0.50313,1.46717,1.27653,2.3682,0.000129111,0.000129111,0.000129111
95,39821.7,0.81349,0.67103,1.33295,0.80603,0.71306,0.781,0.50137,1.46667,1.26972,2.33225,0.000125272,0.000125272,0.000125272
96,40082,0.80477,0.66078,1.32003,0.77478,0.70013,0.76327,0.50368,1.44532,1.23112,2.34927,0.000121466,0.000121466,0.000121466
97,40336.1,0.78988,0.65222,1.31133,0.76415,0.74175,0.7676,0.50998,1.42151,1.24878,2.31923,0.000117696,0.000117696,0.000117696
98,40591.4,0.80083,0.67458,1.30588,0.8898,0.69926,0.80573,0.52052,1.40185,1.2558,2.30871,0.000113962,0.000113962,0.000113962
99,40846.2,0.7732,0.66299,1.29106,0.80488,0.73439,0.77464,0.50882,1.40644,1.26819,2.31315,0.000110267,0.000110267,0.000110267
100,41106.9,0.78112,0.63414,1.29803,0.80611,0.70169,0.79082,0.51491,1.40543,1.25183,2.31131,0.000106613,0.000106613,0.000106613
101,41362.8,0.74111,0.64135,1.2635,0.79551,0.68839,0.80223,0.52335,1.39404,1.21681,2.31824,0.000103,0.000103,0.000103
102,41619.1,0.78209,0.63955,1.30462,0.82338,0.71336,0.78254,0.51075,1.38218,1.22166,2.29871,9.94307e-05,9.94307e-05,9.94307e-05
103,41875.1,0.76091,0.59412,1.28402,0.82616,0.70562,0.75392,0.49607,1.39337,1.31375,2.3059,9.59063e-05,9.59063e-05,9.59063e-05
104,42134.3,0.74846,0.58683,1.28046,0.84718,0.66522,0.78637,0.52136,1.36281,1.23141,2.26444,9.24285e-05,9.24285e-05,9.24285e-05
105,42401.8,0.7397,0.59347,1.27088,0.81242,0.71916,0.80136,0.53283,1.3264,1.22039,2.1836,8.89987e-05,8.89987e-05,8.89987e-05
106,42656.3,0.75653,0.59385,1.2899,0.86161,0.69304,0.7845,0.51356,1.36242,1.25612,2.22316,8.56185e-05,8.56185e-05,8.56185e-05
107,42910,0.72447,0.58128,1.27029,0.81869,0.67976,0.77006,0.50866,1.36518,1.34481,2.26606,8.22894e-05,8.22894e-05,8.22894e-05
108,43167.6,0.75391,0.62368,1.28264,0.83362,0.67773,0.75497,0.50688,1.34387,1.37633,2.26828,7.90127e-05,7.90127e-05,7.90127e-05
109,43425.7,0.75555,0.58692,1.30015,0.82421,0.68522,0.75135,0.49488,1.39384,1.35523,2.35003,7.57901e-05,7.57901e-05,7.57901e-05
110,43682.4,0.74326,0.60148,1.27067,0.77079,0.69722,0.7441,0.50842,1.36587,1.31058,2.28073,7.26227e-05,7.26227e-05,7.26227e-05
111,43935.7,0.77198,0.63021,1.3075,0.75275,0.68322,0.72941,0.48809,1.42336,1.34506,2.37377,6.95121e-05,6.95121e-05,6.95121e-05
112,44191.4,0.72567,0.5603,1.27354,0.7827,0.68453,0.75276,0.51032,1.34197,1.27657,2.20958,6.64597e-05,6.64597e-05,6.64597e-05
113,44449.3,0.74471,0.55201,1.27245,0.83137,0.67181,0.76633,0.51296,1.33193,1.27173,2.20929,6.34667e-05,6.34667e-05,6.34667e-05
114,44704.6,0.74719,0.58753,1.26661,0.80808,0.71831,0.79514,0.50164,1.36057,1.24954,2.26159,6.05344e-05,6.05344e-05,6.05344e-05
115,44960.8,0.7059,0.55476,1.25541,0.79889,0.74874,0.79389,0.5044,1.36982,1.23364,2.26299,5.76642e-05,5.76642e-05,5.76642e-05
116,45216.5,0.722,0.57711,1.25219,0.84992,0.77212,0.80572,0.50847,1.35914,1.24829,2.26634,5.48573e-05,5.48573e-05,5.48573e-05
117,45472.1,0.72031,0.55507,1.253,0.78575,0.76325,0.78431,0.51446,1.34975,1.27833,2.26678,5.2115e-05,5.2115e-05,5.2115e-05
118,45727,0.68293,0.53769,1.24685,0.82549,0.71394,0.80101,0.53028,1.33705,1.25213,2.26514,4.94384e-05,4.94384e-05,4.94384e-05
119,45987,0.71145,0.56813,1.24324,0.83276,0.71182,0.78733,0.52219,1.34443,1.2295,2.27819,4.68287e-05,4.68287e-05,4.68287e-05
